,NAME,PSRJ,P0,P1,BINCOMP,
1,J0002+6216,J0002+6216,0.115364,5.97E-15,NAN,
2,J0006+1834,J0006+1834,0.693748,2.1E-15,NAN,
3,J0007+7303,J0007+7303,0.315873,3.6E-13,NAN,
4,J0011+08,J0011+08,2.55287,NAN,NAN,
5,B0011+47,J0014+4746,1.240699,5.64E-16,NAN,
6,J0023+0923,J0023+0923,0.00305,1.14E-20,UL,
7,J0024-7204aa,J0024-7204aa,0.00184,NAN,NAN,
8,J0024-7204ab,J0024-7204ab,0.003705,9.82E-21,NAN,
9,B0021-72C,J0024-7204C,0.005757,-4.99E-20,NAN,
10,B0021-72D,J0024-7204D,0.005358,-3.42E-21,NAN,
11,B0021-72E,J0024-7204E,0.003536,9.85E-20,NAN,
12,B0021-72F,J0024-7204F,0.002624,6.45E-20,NAN,
13,B0021-72G,J0024-7204G,0.00404,-4.22E-20,NAN,
14,B0021-72H,J0024-7204H,0.00321,-1.83E-21,He,
15,B0021-72I,J0024-7204I,0.003485,-4.59E-20,UL,
16,B0021-72J,J0024-7204J,0.002101,-9.79E-21,UL,
17,B0021-72L,J0024-7204L,0.004346,-1.22E-19,NAN,
18,B0021-72M,J0024-7204M,0.003677,-3.84E-20,NAN,
19,B0021-72N,J0024-7204N,0.003054,-2.19E-20,NAN,
20,J0024-7204O,J0024-7204O,0.002643,3.03E-20,UL,
21,J0024-7204P,J0024-7204P,0.003643,6.64E-19,UL,
22,J0024-7204Q,J0024-7204Q,0.004033,3.4E-20,He,
23,J0024-7204R,J0024-7204R,0.00348,1.48E-19,UL,
24,J0024-7204S,J0024-7204S,0.00283,-1.21E-19,He,
25,J0024-7204T,J0024-7204T,0.007588,2.94E-19,He,
26,J0024-7204U,J0024-7204U,0.004343,9.52E-20,He,
27,J0024-7204V,J0024-7204V,0.00481,NAN,NAN,
28,J0024-7204W,J0024-7204W,0.002352,-8.66E-20,MS,
29,J0024-7204X,J0024-7204X,0.004772,1.84E-20,NAN,
30,J0024-7204Y,J0024-7204Y,0.002197,-3.52E-20,He,
31,J0024-7204Z,J0024-7204Z,0.004554,-4.54E-21,NAN,
32,J0026+6320,J0026+6320,0.318358,1.51E-16,NAN,
33,J0030+0451,J0030+0451,0.004865,1.02E-20,NAN,
34,J0033+57,J0033+57,0.315,NAN,NAN,
35,J0033+61,J0033+61,0.912,NAN,NAN,
36,J0034-0534,J0034-0534,0.001877,4.97E-21,He,
37,B0031-07,J0034-0721,0.942951,4.08E-16,NAN,
38,J0034+69,J0034+69,0.036804,NAN,NAN,
39,J0038-2501,J0038-2501,0.256926,7.6E-19,NAN,
40,J0039+35,J0039+35,0.5367,NAN,NAN,
41,B0037+56,J0040+5716,1.118225,2.88E-15,NAN,
42,J0045-7042,J0045-7042,0.632336,2.49E-15,NAN,
43,J0045-7319,J0045-7319,0.926276,4.46E-15,MS,
44,B0045+33,J0048+3412,1.217094,2.35E-15,NAN,
45,J0050+03,J0050+03,1.36656,NAN,NAN,
46,J0051+0423,J0051+0423,0.354732,7E-18,NAN,
47,J0054+66,J0054+66,1.39,NAN,NAN,
48,J0054+69,J0054+69,NAN,NAN,NAN,
49,J0054+6946,J0054+6946,0.832911,7.19E-16,NAN,
50,B0052+51,J0055+5117,2.115171,9.54E-15,NAN,
51,B0053+47,J0056+4756,0.472037,3.33E-15,NAN,
52,J0057-7201,J0057-7201,0.738062,1E-16,NAN,
53,J0058+4950,J0058+4950,0.996023,8.04E-16,NAN,
54,J0058+6125,J0058+6125,0.637,NAN,NAN,
55,J0059+69,J0059+69,1.1459,NAN,NAN,
56,J0100-7211,J0100-7211,8.020392,1.88E-11,NAN,
57,J0100+80,J0100+80,1.4936,NAN,NAN,
58,J0101-6422,J0101-6422,0.002573,5.16E-21,He,
59,J0102+4839,J0102+4839,0.00296,NAN,He,
60,B0059+65,J0102+6537,1.679164,5.95E-15,NAN,
61,J0103+54,J0103+54,0.354304,NAN,NAN,
62,J0106+4855,J0106+4855,0.083157,4.28E-16,NAN,
63,J0107+13,J0107+13,1.1974,NAN,NAN,
64,J0108-1431,J0108-1431,0.807565,7.7E-17,NAN,
65,B0105+65,J0108+6608,1.28366,1.31E-14,NAN,
66,B0105+68,J0108+6905,1.071118,4.81E-17,NAN,
67,J0111+6624,J0111+6624,4.301872,8.36E-15,NAN,
68,J0111-7131,J0111-7131,0.688542,7.09E-15,NAN,
69,J0113-7220,J0113-7220,0.325883,4.86E-15,NAN,
70,J0115+63,J0115+63,0.5215,NAN,NAN,
71,B0114+58,J0117+5914,0.101439,5.85E-15,NAN,
72,J0121+14,J0121+14,1.389,NAN,NAN,
73,J0125-23,J0125-23,0.003676,NAN,NAN,
74,J0125+62,J0125+62,1.708233,NAN,NAN,
75,J0131-7310,J0131-7310,0.348124,1.76E-15,NAN,
76,J0133-6957,J0133-6957,0.463474,1.2E-16,NAN,
77,J0134-2937,J0134-2937,0.136962,7.84E-17,NAN,
78,J0137+1654,J0137+1654,0.414763,1.22E-17,NAN,
79,J0137+6349,J0137+6349,0.717963,9.6E-16,NAN,
80,J0139+33,J0139+33,1.2479,NAN,NAN,
81,J0139+5621,J0139+5621,1.775344,7.91E-14,NAN,
82,B0136+57,J0139+5814,0.272451,1.07E-14,NAN,
83,B0138+59,J0141+6009,1.222949,3.91E-16,NAN,
84,J0141+63,J0141+63,0.046686,NAN,NAN,
85,J0146+31,J0146+31,0.9381,NAN,NAN,
86,J0146+6145,J0146+6145,8.688994,1.99E-12,NAN,
87,B0144+59,J0147+5922,0.196321,2.57E-16,NAN,
88,B0148-06,J0151-0635,1.464665,4.43E-16,NAN,
89,J0152+0948,J0152+0948,2.746647,1.7E-15,NAN,
90,B0149-16,J0152-1637,0.832742,1.3E-15,NAN,
91,J0154+1833,J0154+1833,0.002365,2.92E-21,NAN,
92,J0156+04,J0156+04,NAN,NAN,NAN,
93,B0153+39,J0156+3949,1.811561,1.52E-16,NAN,
94,B0154+61,J0157+6212,2.351745,1.89E-13,NAN,
95,J0158+21,J0158+21,0.5053,NAN,NAN,
96,J0201+7005,J0201+7005,1.349184,5.51E-15,NAN,
97,J0205+6449,J0205+6449,0.065716,1.94E-13,NAN,
98,B0203-40,J0206-4028,0.630551,1.2E-15,NAN,
99,J0210+58,J0210+58,1.7663,NAN,NAN,
100,J0211-8159,J0211-8159,1.077333,2.9E-16,NAN,
101,J0212+5222,J0212+5222,0.376386,6.6E-15,NAN,
102,J0214+5222,J0214+5222,0.024575,2.99E-19,He,
103,J0215+6218,J0215+6218,0.54888,6.62E-16,NAN,
104,J0218+4232,J0218+4232,0.002323,7.74E-20,He,
105,J0220+36,J0220+36,1.0297,NAN,NAN,
106,J0229+20,J0229+20,0.8069,NAN,NAN,
107,B0226+70,J0231+7026,1.46682,3.11E-15,NAN,
108,J0241+16,J0241+16,1.5454,NAN,NAN,
109,J0242+62,J0242+62,0.592,NAN,NAN,
110,J0243+6027,J0243+6027,1.473,NAN,NAN,
111,J0244+14,J0244+14,2.1281,NAN,NAN,
112,J0248+6021,J0248+6021,0.217094,5.51E-14,NAN,
113,J0250+5854,J0250+5854,23.535378,2.72E-14,NAN,
114,J0251+26,J0251+26,0.00254,NAN,UL,
115,B0254-53,J0255-5304,0.447708,3.13E-17,NAN,
116,J0302+22,J0302+22,1.2072,NAN,NAN,
117,B0301+19,J0304+1932,1.387584,1.3E-15,NAN,
118,J0305+11,J0305+11,0.8621,NAN,NAN,
119,J0308+74,J0308+74,0.00316,NAN,NAN,
120,J0317+13,J0317+13,1.9743,NAN,NAN,
121,B0320+39,J0323+3944,3.032072,6.36E-16,NAN,
122,J0324+5239,J0324+5239,0.33662,3.81E-16,NAN,
123,J0325+6744,J0325+6744,1.364679,1.55E-15,NAN,
124,J0329+1654,J0329+1654,0.89332,2.15E-16,NAN,
125,B0329+54,J0332+5434,0.71452,2.05E-15,NAN,
