,NAME,PSRJ,P0,P1,BINCOMP,DISC
1,J0002+6216,J0002+6216,0.115364,5.97E-15,*,2017
2,J0006+1834,J0006+1834,0.693748,2.1E-15,*,1996
3,J0007+7303,J0007+7303,0.315873,3.6E-13,*,2009
4,B0011+47,J0014+4746,1.240699,5.64E-16,*,1978
5,J0023+0923,J0023+0923,0.00305,1.14E-20,UL,2011
6,J0024-7204ab,J0024-7204ab,0.003705,9.82E-21,*,2016
7,B0021-72E,J0024-7204E,0.003536,9.85E-20,*,1991
8,B0021-72F,J0024-7204F,0.002624,6.45E-20,*,1991
9,J0024-7204O,J0024-7204O,0.002643,3.03E-20,UL,2000
10,J0024-7204P,J0024-7204P,0.003643,6.64E-19,UL[clf+00],2000
11,J0024-7204Q,J0024-7204Q,0.004033,3.4E-20,He[rvh+15],2000
12,J0024-7204R,J0024-7204R,0.00348,1.48E-19,UL[clf+00],2000
13,J0024-7204T,J0024-7204T,0.007588,2.94E-19,He[cpf+15],2000
14,J0024-7204U,J0024-7204U,0.004343,9.52E-20,He[egh+01],2000
15,J0024-7204X,J0024-7204X,0.004772,1.84E-20,*,2008
16,J0026+6320,J0026+6320,0.318358,1.51E-16,*,2009
17,J0030+0451,J0030+0451,0.004865,1.02E-20,*,2000
18,J0034-0534,J0034-0534,0.001877,4.97E-21,He[bkb+95],1994
19,B0031-07,J0034-0721,0.942951,4.08E-16,*,1969
20,J0038-2501,J0038-2501,0.256926,7.6E-19,*,2019
21,B0037+56,J0040+5716,1.118225,2.88E-15,*,1985
22,J0045-7042,J0045-7042,0.632336,2.49E-15,*,2006
23,J0045-7319,J0045-7319,0.926276,4.46E-15,MS[bbs+95],1991
24,B0045+33,J0048+3412,1.217094,2.35E-15,*,1985
25,J0051+0423,J0051+0423,0.354732,7E-18,*,1997
26,J0054+6946,J0054+6946,0.832911,7.19E-16,*,2014
27,B0052+51,J0055+5117,2.115171,9.54E-15,*,1985
28,B0053+47,J0056+4756,0.472037,3.33E-15,*,1985
29,J0057-7201,J0057-7201,0.738062,1E-16,*,2001
30,J0058+4950,J0058+4950,0.996023,8.04E-16,*,2014
31,J0100-7211,J0100-7211,8.020392,1.88E-11,*,2002
32,J0101-6422,J0101-6422,0.002573,5.16E-21,He[kcj+12],2012
